사업명,기준년월,시도,시군구,수급권자수,수급가구수
기초생활보장(맞춤형급여),2025-12,서울특별시,종로구,6387,5477
기초생활보장(맞춤형급여),2025-12,서울특별시,중구,6326,5330
기초생활보장(맞춤형급여),2025-12,서울특별시,용산구,9248,7369
기초생활보장(맞춤형급여),2025-12,서울특별시,성동구,10865,8575
기초생활보장(맞춤형급여),2025-12,서울특별시,광진구,16001,12098
기초생활보장(맞춤형급여),2025-12,서울특별시,동대문구,17255,13892
기초생활보장(맞춤형급여),2025-12,서울특별시,중랑구,32151,24029
기초생활보장(맞춤형급여),2025-12,서울특별시,성북구,19522,14820
기초생활보장(맞춤형급여),2025-12,서울특별시,강북구,26568,20351
기초생활보장(맞춤형급여),2025-12,서울특별시,도봉구,19634,14533
기초생활보장(맞춤형급여),2025-12,서울특별시,노원구,34030,25401
기초생활보장(맞춤형급여),2025-12,서울특별시,은평구,29250,21845
기초생활보장(맞춤형급여),2025-12,서울특별시,서대문구,12930,9998
기초생활보장(맞춤형급여),2025-12,서울특별시,마포구,12769,9748
기초생활보장(맞춤형급여),2025-12,서울특별시,양천구,20616,15490
기초생활보장(맞춤형급여),2025-12,서울특별시,강서구,35923,27028
기초생활보장(맞춤형급여),2025-12,서울특별시,구로구,17951,13412
기초생활보장(맞춤형급여),2025-12,서울특별시,금천구,15678,12368
기초생활보장(맞춤형급여),2025-12,서울특별시,영등포구,13261,11291
기초생활보장(맞춤형급여),2025-12,서울특별시,동작구,14289,11322
기초생활보장(맞춤형급여),2025-12,서울특별시,관악구,26914,21667
기초생활보장(맞춤형급여),2025-12,서울특별시,서초구,8523,6245
기초생활보장(맞춤형급여),2025-12,서울특별시,강남구,17846,13500
기초생활보장(맞춤형급여),2025-12,서울특별시,송파구,20961,15455
기초생활보장(맞춤형급여),2025-12,서울특별시,강동구,20669,15984
기초생활보장(맞춤형급여),2025-12,부산광역시,중구,5121,4221
기초생활보장(맞춤형급여),2025-12,부산광역시,서구,11469,9030
기초생활보장(맞춤형급여),2025-12,부산광역시,동구,11049,8594
기초생활보장(맞춤형급여),2025-12,부산광역시,영도구,14061,10971
기초생활보장(맞춤형급여),2025-12,부산광역시,부산진구,26653,20431
기초생활보장(맞춤형급여),2025-12,부산광역시,동래구,15670,11832
기초생활보장(맞춤형급여),2025-12,부산광역시,남구,14263,10857
기초생활보장(맞춤형급여),2025-12,부산광역시,북구,25175,19043
기초생활보장(맞춤형급여),2025-12,부산광역시,해운대구,25647,19076
기초생활보장(맞춤형급여),2025-12,부산광역시,사하구,28755,21488
기초생활보장(맞춤형급여),2025-12,부산광역시,금정구,15947,12360
기초생활보장(맞춤형급여),2025-12,부산광역시,강서구,5679,3992
기초생활보장(맞춤형급여),2025-12,부산광역시,연제구,14139,10880
기초생활보장(맞춤형급여),2025-12,부산광역시,수영구,11350,8763
기초생활보장(맞춤형급여),2025-12,부산광역시,사상구,17560,13667
기초생활보장(맞춤형급여),2025-12,부산광역시,기장군,13855,9517
기초생활보장(맞춤형급여),2025-12,대구광역시,중구,5205,3962
기초생활보장(맞춤형급여),2025-12,대구광역시,동구,25675,19627
기초생활보장(맞춤형급여),2025-12,대구광역시,서구,19092,14511
기초생활보장(맞춤형급여),2025-12,대구광역시,남구,17157,13150
기초생활보장(맞춤형급여),2025-12,대구광역시,북구,25995,19068
기초생활보장(맞춤형급여),2025-12,대구광역시,수성구,23136,16948
기초생활보장(맞춤형급여),2025-12,대구광역시,달서구,37520,27732
기초생활보장(맞춤형급여),2025-12,대구광역시,달성군,16073,10782
기초생활보장(맞춤형급여),2025-12,대구광역시,군위군,1387,1101
기초생활보장(맞춤형급여),2025-12,인천광역시,중구,9900,7265
기초생활보장(맞춤형급여),2025-12,인천광역시,동구,3900,3089
기초생활보장(맞춤형급여),2025-12,인천광역시,미추홀구,33502,24128
기초생활보장(맞춤형급여),2025-12,인천광역시,연수구,14058,10216
기초생활보장(맞춤형급여),2025-12,인천광역시,남동구,40857,29228
기초생활보장(맞춤형급여),2025-12,인천광역시,부평구,35560,25743
기초생활보장(맞춤형급여),2025-12,인천광역시,계양구,20503,14690
기초생활보장(맞춤형급여),2025-12,인천광역시,서구,34159,23551
기초생활보장(맞춤형급여),2025-12,인천광역시,강화군,4952,3912
기초생활보장(맞춤형급여),2025-12,인천광역시,옹진군,745,637
기초생활보장(맞춤형급여),2025-12,광주광역시,동구,7456,5866
기초생활보장(맞춤형급여),2025-12,광주광역시,서구,19729,13914
기초생활보장(맞춤형급여),2025-12,광주광역시,남구,15965,11120
기초생활보장(맞춤형급여),2025-12,광주광역시,북구,36084,25542
기초생활보장(맞춤형급여),2025-12,광주광역시,광산구,25947,16572
기초생활보장(맞춤형급여),2025-12,대전광역시,동구,20460,15415
기초생활보장(맞춤형급여),2025-12,대전광역시,중구,15661,11883
기초생활보장(맞춤형급여),2025-12,대전광역시,서구,22528,16161
기초생활보장(맞춤형급여),2025-12,대전광역시,유성구,12861,9178
기초생활보장(맞춤형급여),2025-12,대전광역시,대덕구,13648,9925
기초생활보장(맞춤형급여),2025-12,울산광역시,중구,11145,8582
기초생활보장(맞춤형급여),2025-12,울산광역시,남구,13510,10489
기초생활보장(맞춤형급여),2025-12,울산광역시,동구,7259,5069
기초생활보장(맞춤형급여),2025-12,울산광역시,북구,7696,5186
기초생활보장(맞춤형급여),2025-12,울산광역시,울주군,10092,7564
기초생활보장(맞춤형급여),2025-12,세종특별자치시,세종특별자치시,10202,6857
기초생활보장(맞춤형급여),2025-12,경기도,수원시,224,224
기초생활보장(맞춤형급여),2025-12,경기도,수원시장안구,8947,7033
